Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,0,World,WLD,01,Animals; live,1,No Quantity,0,0,37752054,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,0,World,WLD,01,Animals; live,1,No Quantity,0,0,21881722,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,899,"Areas, nes",,01,Animals; live,1,No Quantity,0,0,31008,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,860,Uzbekistan,UZB,01,Animals; live,1,No Quantity,0,0,5880,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,842,USA,USA,01,Animals; live,1,No Quantity,0,0,300,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,842,USA,USA,01,Animals; live,1,No Quantity,0,0,130560,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,826,United Kingdom,GBR,01,Animals; live,1,No Quantity,0,0,1,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,01,Animals; live,1,No Quantity,0,0,15560,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,01,Animals; live,1,No Quantity,0,0,8673901,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,792,Turkey,TUR,01,Animals; live,1,No Quantity,0,0,34998,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,01,Animals; live,1,No Quantity,0,0,1241913,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,703,Slovakia,SVK,01,Animals; live,1,No Quantity,0,0,4070,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,643,Russian Federation,RUS,01,Animals; live,1,No Quantity,0,0,1903,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,01,Animals; live,1,No Quantity,0,0,10475778,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,0,483551,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,498,Rep. of Moldova,MDA,01,Animals; live,1,No Quantity,0,0,82144,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,414,Kuwait,KWT,01,Animals; live,1,No Quantity,0,0,1983,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,01,Animals; live,1,No Quantity,0,0,301431,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,01,Animals; live,1,No Quantity,0,0,59676,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,376,Israel,ISR,01,Animals; live,1,No Quantity,0,0,129690,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,364,Iran,IRN,01,Animals; live,1,No Quantity,0,0,190691,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,348,Hungary,HUN,01,Animals; live,1,No Quantity,0,0,444672,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,01,Animals; live,1,No Quantity,0,0,8291357,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,268,Georgia,GEO,01,Animals; live,1,No Quantity,0,0,48552,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,01,Animals; live,1,No Quantity,0,0,22255061,0
